,er,in,ti,on,es,te,at,al,an,re,en,is,ic,ri,ra,user_id,platform_id
0,"[933565000.0, 933565000.0, 933565000.0, 933565000.0, 933565000.0]","[188091000.0, 641221000.0, 270423500.0, 300879035.71428573, 83205374.82702585]","[196550000.0, 308534000.0, 201817000.0, 228419428.57142857, 38692943.800636105]","[249834000.0, 327261000.0, 279244500.0, 283523666.6666667, 25196186.5842609]","[254660000.0, 393587000.0, 287910000.0, 311363666.6666667, 47865583.4919227]","[216702000.0, 354542000.0, 269528500.0, 279081000.0, 43903648.638809055]","[257385000.0, 440264000.0, 299382000.0, 306128000.0, 50024025.46332668]","[192877000.0, 335053000.0, 222233500.0, 243108000.0, 46522211.37263361]","[173414000.0, 360155000.0, 198301000.0, 218484250.0, 49443694.14685253]","[14916010472.09317, 14916010472.09317, 14916010472.09317, 14916010472.09317, 14916010472.09317]","[190350000.0, 415017000.0, 217451500.0, 234350833.33333334, 58660701.602284156]","[171080000.0, 281289000.0, 203215000.0, 214662812.5, 34509182.69319549]","[178164000.0, 344369000.0, 219169000.0, 231335000.0, 59080040.22002693]","[160372000.0, 343823000.0, 207709500.0, 223719500.0, 58763862.20785129]","[305578000.0, 412704000.0, 334732000.0, 346537200.0, 35600500.07738655]",[5],[1]
0,"[157425000.0, 276255000.0, 255663000.0, 236251500.0, 46561237.7976574]","[240263000.0, 275602000.0, 241448000.0, 252437666.66666666, 16386799.775700225]","[167718000.0, 205983000.0, 179501500.0, 183176000.0, 14035158.513533076]","[223196000.0, 275436000.0, 257164000.0, 253240000.0, 21975667.816928796]","[294682000.0, 457835000.0, 376258500.0, 376258500.0, 81576500.0]","[233673000.0, 307973000.0, 263536000.0, 268394000.0, 30526738.257905424]","[181727000.0, 390305000.0, 236584000.0, 261300000.0, 78089585.83895807]","[182474000.0, 187098000.0, 184786000.0, 184786000.0, 2312000.0]","[157744000.0, 257657000.0, 188369000.0, 201256666.66666666, 41794902.8497761]","[260155000.0, 284276000.0, 272215500.0, 272215500.0, 12060500.0]","[161731000.0, 410485000.0, 252691000.0, 253354800.0, 87481940.80700314]","[233372000.0, 277073000.0, 242014500.0, 248618500.0, 16832067.438374884]","[265378000.0, 265378000.0, 265378000.0, 265378000.0, 0.0]","[207933000.0, 207933000.0, 207933000.0, 207933000.0, 0.0]","[204564000.0, 204564000.0, 204564000.0, 204564000.0, 0.0]",[5],[2]
0,"[277691000.0, 313494000.0, 292458000.0, 294025250.0, 13141402.576875119]","[219193000.0, 251134000.0, 238598000.0, 236880750.0, 11439185.424998583]","[157394000.0, 591768000.0, 176582000.0, 261477600.0, 166448856.22508794]","[234685000.0, 288237000.0, 259362000.0, 259360500.0, 21761377.152729403]","[407688000.0, 407688000.0, 407688000.0, 407688000.0, 0.0]","[218803000.0, 368153000.0, 351438000.0, 315184000.0, 58730148.881132595]","[225428000.0, 736252000.0, 322178000.0, 375591833.3333333, 166634902.9499489]","[183431000.0, 207762000.0, 198145000.0, 196870750.0, 9809443.852099873]","[178444000.0, 187117000.0, 182780500.0, 182780500.0, 4336500.0]","[297904000.0, 301014000.0, 299459000.0, 299459000.0, 1555000.0]","[209822000.0, 235513000.0, 227431000.0, 225049250.0, 10744202.910756107]","[235151000.0, 1243936000.0, 292760000.0, 516151750.0, 420855848.9128879]","[231565000.0, 231565000.0, 231565000.0, 231565000.0, 0.0]","[772597000.0, 772597000.0, 772597000.0, 772597000.0, 0.0]","[400386000.0, 400386000.0, 400386000.0, 400386000.0, 0.0]",[5],[3]
0,"[206535000.0, 3659511000.0, 223068000.0, 608463777.7777778, 1078826944.2764394]","[178736000.0, 220330000.0, 194598500.0, 199363166.66666666, 16264236.168320015]","[123103000.0, 291235000.0, 148031500.0, 160925000.0, 51496793.11131908]","[193181000.0, 707346000.0, 207892000.0, 253806933.33333334, 124976526.44155043]","[206035000.0, 250106000.0, 231284000.0, 231335000.0, 14400409.674728008]","[174508000.0, 488932000.0, 227943000.0, 260304888.8888889, 97241010.43791994]","[154048000.0, 699049000.0, 260162000.0, 359217428.5714286, 171408747.60046285]","[139545000.0, 139545000.0, 139545000.0, 139545000.0, 139545000.0]","[122792000.0, 266475000.0, 164392000.0, 171512222.2222222, 43116268.55834189]","[213587000.0, 226000000.0, 219793500.0, 219793500.0, 6206500.0]","[132946000.0, 191480000.0, 154781000.0, 156983714.2857143, 18949754.003034186]","[152246000.0, 685820000.0, 219186000.0, 293447400.0, 199805654.2118866]","[189949000.0, 479873000.0, 189949000.0, 286590333.3333333, 136671484.28581905]","[162399000.0, 192369000.0, 180280000.0, 179060571.42857143, 8488200.496776063]","[307676000.0, 307676000.0, 307676000.0, 307676000.0, 307676000.0]",[12],[1]
0,"[200292000.0, 402483000.0, 211239000.0, 236170250.0, 64222845.893712156]","[136732000.0, 260766000.0, 205012000.0, 199615714.2857143, 34011501.906242944]","[128508000.0, 282806000.0, 146936500.0, 171229500.0, 55024397.53342754]","[169989000.0, 292310000.0, 199395000.0, 208486800.0, 31565635.823787868]","[197740000.0, 449425000.0, 245443000.0, 275008400.0, 78975180.0355023]","[162523000.0, 397418000.0, 187172000.0, 217454100.0, 70303455.66392878]","[154581000.0, 253088000.0, 223049000.0, 209488250.0, 37327339.62108069]","[316363000.0, 352973000.0, 334668000.0, 334668000.0, 18305000.0]","[102761000.0, 143170000.0, 122965500.0, 122965500.0, 20204500.0]","[218408000.0, 236833000.0, 223815000.0, 225717750.0, 6786422.893358474]","[184245000.0, 412046000.0, 196130000.0, 264140333.33333334, 104697589.84915662]","[173525000.0, 517071000.0, 211861500.0, 237409500.0, 86545645.15088747]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[138458000.0, 207291000.0, 168149500.0, 174386875.0, 22844578.100927472]","[24793227744.322937, 24793227744.322937, 24793227744.322937, 24793227744.322937, 24793227744.322937]",[12],[2]
0,"[208096000.0, 288432000.0, 220445000.0, 227270750.0, 24921776.23961623]","[167621000.0, 195115000.0, 180436000.0, 181057333.33333334, 11232973.792465745]","[146005000.0, 428761000.0, 165168000.0, 214875500.0, 99360046.09122321]","[178832000.0, 214061000.0, 190512000.0, 193112250.0, 12481989.131845132]","[225792000.0, 292815000.0, 240408000.0, 244767142.85714287, 20871497.51235314]","[152032000.0, 253902000.0, 209898500.0, 206432750.0, 44621659.77064838]","[165762000.0, 339223000.0, 262280500.0, 261545000.0, 60574092.26723914]","[149861000.0, 272686000.0, 155411500.0, 183342500.0, 51634810.88616477]","[160761000.0, 199576000.0, 180168500.0, 180168500.0, 19407500.0]","[205652000.0, 434138000.0, 224183500.0, 266957833.33333334, 80403292.04167506]","[137029000.0, 181705000.0, 153489000.0, 156428000.0, 16820186.78552649]","[156224000.0, 265630000.0, 184272000.0, 197599500.0, 42031069.4932927]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[177181000.0, 205820000.0, 191500500.0, 191500500.0, 14319500.0]","[329296000.0, 329296000.0, 329296000.0, 329296000.0, 329296000.0]",[12],[3]
0,"[498690000.0, 2519670000.0, 657816000.0, 897054857.1428572, 666851798.7153044]","[424872000.0, 908108000.0, 512368500.0, 561498000.0, 166983920.7878012]","[200158000.0, 912440000.0, 448147000.0, 467147200.0, 207912133.46738568]","[539635000.0, 539635000.0, 539635000.0, 539635000.0, 539635000.0]","[400255000.0, 1606890000.0, 580348000.0, 870325285.7142857, 473460573.4243844]","[234874000.0, 1881714000.0, 359828500.0, 431014500.0, 315012833.37389606]","[330364000.0, 713048000.0, 424496500.0, 482717000.0, 122680822.98550169]","[24165447773.4326, 24165447773.4326, 24165447773.4326, 24165447773.4326, 24165447773.4326]","[363860000.0, 980313000.0, 462805000.0, 554734000.0, 220122798.47666848]","[350140000.0, 697806000.0, 369778000.0, 472574666.6666667, 159464265.37489694]","[227796000.0, 1062016000.0, 353290000.0, 492577000.0, 261229072.83795533]","[280519000.0, 369157000.0, 328185000.0, 332358833.3333333, 30029884.145723164]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[302895000.0, 946529000.0, 437840000.0, 501622666.6666667, 201147420.88384387]","[436284000.0, 1318071000.0, 592373000.0, 710186000.0, 268107031.56151512]",[13],[1]
0,"[387971000.0, 1623088000.0, 897925000.0, 827169857.1428572, 384678608.14207286]","[411214000.0, 479105000.0, 445159500.0, 445159500.0, 33945500.0]","[276105000.0, 704821000.0, 343699000.0, 411326500.0, 139836400.88242403]","[5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858]","[532765000.0, 704065000.0, 548567000.0, 595132333.3333334, 77296701.96212916]","[257832000.0, 470272000.0, 367598500.0, 364721666.6666667, 51088868.102552444]","[287561000.0, 614322000.0, 458526000.0, 459265333.3333333, 104210419.9103376]","[494706000.0, 494706000.0, 494706000.0, 494706000.0, 494706000.0]","[351094000.0, 484015000.0, 443278500.0, 434822875.0, 41447962.11346675]","[344316000.0, 344316000.0, 344316000.0, 344316000.0, 344316000.0]","[292335000.0, 389824000.0, 341079500.0, 341079500.0, 48744500.0]","[316357000.0, 682388000.0, 330207000.0, 397839111.1111111, 118845281.36797059]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[245980000.0, 677804000.0, 340110000.0, 431639400.0, 169212762.2841729]","[392330000.0, 1524240000.0, 563255000.0, 653171800.0, 307059574.4305872]",[13],[2]
0,"[326566000.0, 1436023000.0, 617030000.0, 660400909.0909091, 322576656.8197267]","[217349000.0, 1277025000.0, 431845500.0, 522112875.0, 299305122.59207886]","[275708000.0, 526428000.0, 383347500.0, 394876666.6666667, 82698387.40803166]","[5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858, 5825855551.771858]","[448032000.0, 916963000.0, 569816000.0, 619038333.3333334, 168201680.75425273]","[289881000.0, 469770000.0, 374536000.0, 377710739.1304348, 49909312.31327598]","[281333000.0, 504927000.0, 364613000.0, 379487142.85714287, 66212228.599575534]","[647345000.0, 647345000.0, 647345000.0, 647345000.0, 647345000.0]","[521540000.0, 736766000.0, 573923500.0, 601538250.0, 80950191.48950483]","[338716000.0, 338716000.0, 338716000.0, 338716000.0, 338716000.0]","[308049000.0, 1488841000.0, 473608000.0, 643058400.0, 437542999.20378107]","[318839000.0, 720423000.0, 367122000.0, 423521571.4285714, 131397336.31661656]","[370245000.0, 370245000.0, 370245000.0, 370245000.0, 370245000.0]","[598798000.0, 911680000.0, 732263000.0, 739013400.0, 123931727.15749587]","[377563000.0, 1036766000.0, 483174000.0, 549726933.3333334, 157784918.9584635]",[13],[3]
0,"[238034000.0, 571697000.0, 326110000.0, 348442200.0, 84672182.99040128]","[281883000.0, 354056000.0, 309963000.0, 311022250.0, 18248906.325791143]","[230719000.0, 946517000.0, 498836000.0, 491723437.5, 198545384.03409457]","[278573000.0, 955494000.0, 310137000.0, 413033000.0, 205983615.88300002]","[329116000.0, 752255000.0, 411775000.0, 450644846.15384614, 120586444.07283175]","[280431000.0, 509723000.0, 308084000.0, 351580500.0, 92031655.21846274]","[213077000.0, 1044493000.0, 286859000.0, 346670076.9230769, 215406669.24553573]","[305337000.0, 510216000.0, 448572000.0, 421375000.0, 85823884.65922526]","[183945000.0, 730526000.0, 257109000.0, 279453823.5294118, 115516285.93214506]","[230464000.0, 613804000.0, 321675000.0, 368285333.3333333, 119638554.586536]","[263333000.0, 806601000.0, 314406000.0, 401406700.0, 200682628.4734431]","[231788000.0, 495972000.0, 304519500.0, 328314428.5714286, 76673249.10732211]","[445536000.0, 462196000.0, 453866000.0, 453866000.0, 8330000.0]","[296560000.0, 296560000.0, 296560000.0, 296560000.0, 296560000.0]","[221121000.0, 384782000.0, 226368000.0, 277423666.6666667, 75944021.28907551]",[15],[1]
0,"[290586000.0, 430037000.0, 342331000.0, 350946625.0, 46369965.98806576]","[285147000.0, 489254000.0, 318783000.0, 334610833.3333333, 62116275.18725579]","[215834000.0, 918787000.0, 513491500.0, 533244333.3333333, 257513004.97946808]","[278408000.0, 437554000.0, 310554000.0, 331031454.54545456, 45907167.34169996]","[328504000.0, 1487102000.0, 395528500.0, 548315428.5714285, 376976425.44854075]","[252134000.0, 345612000.0, 286366500.0, 290874166.6666667, 28886905.103735536]","[200669000.0, 2084998000.0, 281370500.0, 459622700.0, 543736893.4365314]","[205296000.0, 842783000.0, 326606000.0, 458228333.3333333, 276394341.1942839]","[200972000.0, 366988000.0, 242763000.0, 257620000.0, 49207824.19493876]","[238285000.0, 1143049000.0, 319003000.0, 425731750.0, 251474772.31262684]","[279143000.0, 493940000.0, 315622000.0, 329606285.71428573, 69529475.68727192]","[251894000.0, 529088000.0, 329047000.0, 362211583.3333333, 90543910.37084192]","[562393000.0, 562393000.0, 562393000.0, 562393000.0, 562393000.0]","[532713000.0, 1295391000.0, 685433000.0, 837845666.6666666, 329486113.65916806]","[275617000.0, 275617000.0, 275617000.0, 275617000.0, 275617000.0]",[15],[2]
0,"[207904000.0, 393679000.0, 306797000.0, 307512714.28571427, 58482186.06358273]","[274949000.0, 636211000.0, 319478000.0, 354794952.38095236, 94350894.84496346]","[193248000.0, 1296387000.0, 519786000.0, 547923857.1428572, 330807497.3133074]","[275400000.0, 417421000.0, 289230000.0, 311503666.6666667, 46292454.61915653]","[312799000.0, 607790000.0, 400661000.0, 436414533.3333333, 99112773.98254755]","[278471000.0, 380096000.0, 326673500.0, 328313000.0, 37878782.050993495]","[182228000.0, 743141000.0, 247076500.0, 290789250.0, 131081968.23958091]","[243046000.0, 605239000.0, 331928000.0, 362205000.0, 110784001.48136112]","[169965000.0, 344866000.0, 241962000.0, 262601111.1111111, 54235730.70391561]","[218185000.0, 811300000.0, 293053000.0, 353245250.0, 169942457.3942236]","[210668000.0, 952455000.0, 362443500.0, 479560250.0, 274732520.8688216]","[233924000.0, 355475000.0, 307017500.0, 302591812.5, 26099289.064117122]","[374208000.0, 669138000.0, 492704000.0, 532250600.0, 114494108.78049578]","[226495000.0, 323392000.0, 289092000.0, 288477857.14285713, 29304754.60900291]","[248751000.0, 276296000.0, 264616500.0, 263570000.0, 9861740.034091348]",[15],[3]
